lsoacode,202401_order_crime,202401_property_crime,202401_violent_crime,202402_order_crime,202402_property_crime,202402_violent_crime,202403_order_crime,202403_property_crime,202403_violent_crime,202404_order_crime,202404_property_crime,202404_violent_crime,202405_order_crime,202405_property_crime,202405_violent_crime,202406_order_crime,202406_property_crime,202406_violent_crime,202407_order_crime,202407_property_crime,202407_violent_crime,202408_order_crime,202408_property_crime,202408_violent_crime,202409_order_crime,202409_property_crime,202409_violent_crime,202410_order_crime,202410_property_crime,202410_violent_crime,202411_order_crime,202411_property_crime,202411_violent_crime,202412_order_crime,202412_property_crime,202412_violent_crime,violent_crime_total,property_crime_total,order_crime_total,all_crime_total
E01000006,2,7,2,1,1,4,0,2,8,2,6,2,1,2,3,0,5,1,0,2,3,1,3,4,0,3,2,2,2,5,2,1,1,0,2,2,37,36,11,84
E01000007,14,12,18,6,17,16,9,17,16,12,11,29,18,17,18,4,19,21,10,13,11,8,11,13,10,13,13,9,17,11,3,16,18,4,13,22,206,176,107,489
E01000008,0,7,5,0,6,5,2,1,8,1,3,9,1,4,1,0,7,3,1,5,3,3,2,4,2,3,8,0,2,7,1,5,8,2,0,6,67,45,13,125
E01000009,7,11,8,4,13,8,0,6,6,6,9,7,0,9,12,1,15,11,3,6,4,0,3,4,2,4,13,3,5,9,2,6,6,2,5,9,97,92,30,219
E01000011,1,1,5,0,3,5,1,1,2,2,1,4,1,4,3,2,3,5,2,6,0,2,1,6,2,2,6,0,2,12,1,2,6,3,2,5,59,28,17,104
E01000012,2,1,5,2,4,7,1,4,5,2,5,6,1,4,10,3,7,10,1,5,8,3,3,9,2,4,6,2,10,13,4,2,5,5,2,7,91,51,28,170
E01000013,0,7,7,2,5,6,13,12,6,2,9,7,1,4,9,3,13,5,3,4,5,1,7,2,6,3,9,1,4,7,3,6,8,1,5,6,77,79,36,192
E01000014,4,4,5,0,3,9,2,4,5,0,2,2,1,3,3,4,3,3,1,2,4,1,3,5,1,5,4,4,3,5,3,3,1,1,4,7,53,39,22,114
E01000015,0,4,4,2,3,4,0,1,4,3,1,8,1,3,5,1,5,3,3,2,7,4,3,8,1,6,5,2,6,4,1,1,3,1,6,3,58,41,19,118
E01000016,1,1,5,1,1,3,0,1,0,1,1,2,2,9,4,1,3,3,1,3,3,3,3,0,3,4,3,2,2,7,2,6,2,1,3,3,35,37,18,90
E01000017,1,4,2,2,2,4,6,1,9,2,1,7,0,5,2,1,4,6,0,4,8,1,0,8,3,1,11,1,1,3,2,3,5,1,1,2,67,27,20,114
E01000018,0,3,1,0,1,5,0,0,4,1,2,3,0,0,3,1,2,7,1,1,3,0,2,3,2,4,1,0,2,1,2,1,6,2,1,1,38,19,9,66
E01000019,2,6,3,2,2,9,2,2,6,2,2,6,0,0,3,0,3,3,2,0,4,0,0,1,4,5,2,4,3,1,0,1,1,3,0,3,42,24,21,87
E01000020,1,2,7,1,3,4,1,5,3,0,4,3,3,5,3,0,2,0,0,2,1,2,4,9,0,4,6,0,6,6,0,3,0,1,3,3,45,43,9,97
E01000021,3,2,6,6,1,4,4,4,4,3,3,2,2,3,8,1,2,7,2,7,7,2,0,4,2,2,5,1,6,7,0,5,6,5,5,11,71,40,31,142
E01000022,0,4,2,2,1,1,0,4,2,1,2,0,1,3,1,2,3,3,0,2,3,0,1,2,0,0,3,4,4,4,0,1,2,0,3,2,25,28,10,63
E01000024,3,3,4,0,2,4,1,0,2,0,1,4,0,0,5,1,1,3,2,1,1,2,3,1,0,1,1,2,2,2,0,4,5,2,0,3,35,18,13,66
E01000025,2,3,5,2,2,8,2,2,6,1,2,4,0,2,5,1,0,5,2,3,2,0,1,0,1,1,0,0,7,3,1,3,3,0,1,5,46,27,12,85
E01000027,2,2,10,3,5,7,6,2,8,4,5,11,8,5,7,7,2,7,3,5,3,2,7,6,5,2,5,6,1,8,13,4,4,4,0,5,81,40,63,184
E01000028,2,4,3,3,2,5,2,0,1,2,1,4,1,2,4,2,4,6,0,2,4,3,1,3,1,2,7,3,0,2,9,1,5,1,1,11,55,20,29,104
E01000029,1,2,3,1,2,3,0,2,2,1,3,3,1,4,8,0,2,5,0,2,2,3,3,1,1,3,2,0,8,2,2,7,11,0,3,1,43,41,10,94
E01000030,2,2,11,3,4,9,3,6,13,4,4,2,4,3,10,4,2,6,1,8,17,3,9,9,4,7,8,8,12,13,11,9,7,0,11,11,116,77,47,240
E01000031,0,3,1,0,1,5,0,3,10,1,2,5,3,7,5,0,0,5,1,3,8,0,4,5,4,1,6,3,6,9,4,4,7,2,5,2,68,39,18,125
E01000032,0,6,8,4,4,12,1,8,4,2,11,5,2,9,9,1,5,5,2,8,6,1,7,6,5,9,10,4,10,4,1,3,15,0,4,4,88,84,23,195
E01000033,0,1,4,0,0,0,0,1,2,0,1,4,0,0,1,0,1,4,1,2,3,1,1,6,0,2,4,1,1,5,0,4,3,2,1,6,42,15,5,62
E01000034,3,3,1,2,3,2,2,4,5,1,0,3,4,2,4,0,4,4,0,2,2,0,2,4,1,4,10,4,1,8,2,1,3,2,1,2,48,27,21,96
E01000035,3,4,14,2,2,9,3,7,18,1,4,7,1,4,3,1,2,6,2,7,6,3,5,12,3,8,9,2,6,7,2,4,11,5,3,9,111,56,28,195
E01000036,2,4,4,2,3,6,2,2,6,4,1,8,4,8,6,3,2,7,5,3,13,3,4,4,4,6,7,0,5,9,7,0,3,4,1,5,78,39,40,157
E01000037,0,5,3,3,1,0,1,1,1,1,2,3,0,3,0,0,2,4,0,2,2,0,0,3,0,0,4,0,1,4,0,3,4,0,5,5,33,25,5,63
E01000038,0,0,1,0,2,4,1,2,2,1,5,3,0,4,0,1,4,2,0,7,1,0,1,5,2,4,9,2,1,1,3,0,0,0,7,2,30,37,10,77
E01000039,0,5,2,0,2,3,1,0,2,1,2,3,0,1,2,0,1,6,6,0,4,3,1,5,3,1,3,0,4,7,0,1,5,0,0,0,42,18,14,74
E01000040,0,3,5,0,6,1,3,5,3,1,1,1,2,4,3,1,3,6,1,3,6,1,1,6,0,2,3,0,3,3,2,3,3,4,13,2,42,47,15,104
E01000041,0,4,6,0,4,4,1,2,3,1,3,1,0,5,3,2,0,2,1,4,1,0,0,2,0,1,4,1,3,2,0,6,5,1,1,4,37,33,7,77
E01000042,2,0,2,2,1,9,1,2,5,2,2,2,0,6,3,2,4,3,0,2,4,1,2,9,3,2,6,0,4,4,4,5,3,4,5,10,60,35,21,116
E01000043,3,2,5,2,3,3,2,2,3,0,6,3,1,5,7,0,5,3,1,3,2,0,0,7,1,1,3,4,1,0,2,3,1,0,3,2,39,34,16,89
E01000044,2,4,0,4,2,6,0,2,2,1,2,3,0,2,6,1,5,4,1,2,5,0,2,10,4,1,4,2,3,5,3,4,3,0,1,2,50,30,18,98
E01000045,2,4,11,2,8,5,5,11,8,4,19,3,2,15,9,2,6,4,2,19,8,0,10,5,1,12,6,2,12,10,3,4,7,0,6,9,85,126,25,236
E01000046,2,9,7,2,3,3,2,5,4,1,1,4,0,1,6,0,3,3,0,2,2,0,3,4,0,4,2,0,2,10,3,4,4,0,1,2,51,38,10,99
E01000049,4,6,5,0,9,4,1,4,4,3,7,1,0,8,5,5,7,1,1,3,4,0,5,8,3,5,3,2,2,3,0,5,1,1,3,1,40,64,20,124
E01000050,1,3,1,0,2,4,3,4,3,0,4,2,0,2,3,0,4,4,0,2,1,1,2,3,1,1,9,1,5,7,1,3,6,1,2,5,48,34,9,91
E01000051,0,6,7,0,1,5,1,1,6,2,3,9,2,6,5,0,6,8,0,3,13,2,3,6,1,5,5,2,3,9,2,5,8,2,1,9,90,43,14,147
E01000052,1,3,6,1,2,5,0,3,4,0,3,5,0,2,2,0,4,6,1,3,9,1,3,8,1,4,6,0,5,2,0,2,4,2,2,4,61,36,7,104
E01000053,2,5,1,2,3,5,1,4,9,0,5,6,4,4,4,2,6,1,1,3,2,1,7,2,1,4,4,2,1,8,1,3,8,3,2,7,57,47,20,124
E01000054,2,4,5,1,3,3,0,6,5,1,4,1,0,4,5,0,3,5,1,1,1,1,2,3,0,1,9,0,2,4,0,1,7,0,2,3,51,33,6,90
E01000055,1,1,8,2,3,7,0,1,2,0,1,2,1,1,7,1,3,4,2,4,4,0,2,3,3,1,2,0,7,3,1,4,7,0,3,5,54,31,11,96
E01000056,7,12,0,1,6,5,4,6,6,5,4,3,6,13,7,1,5,4,1,13,8,3,4,4,2,6,2,7,7,7,6,9,11,3,10,9,66,95,46,207
E01000057,1,4,11,1,6,11,0,9,3,1,9,8,1,7,7,0,3,6,3,4,3,0,6,4,4,12,5,0,13,6,1,16,8,0,9,3,75,98,12,185
E01000058,0,2,9,5,5,6,0,4,6,1,2,7,1,1,5,0,7,1,2,1,1,2,3,10,3,4,5,0,0,10,1,5,5,1,2,6,71,36,16,123
E01000059,0,2,0,1,2,4,1,2,2,1,3,1,2,4,6,3,5,4,2,2,5,2,2,2,3,5,1,0,4,9,1,8,4,0,1,2,40,40,16,96
E01000060,2,8,5,3,5,7,1,5,11,4,7,5,4,10,2,5,11,7,3,27,10,6,42,6,2,53,11,5,44,13,4,13,8,5,14,6,91,239,44,374
E01000061,0,3,14,6,3,15,1,3,12,5,2,11,3,1,16,3,3,10,3,3,8,1,5,7,5,3,7,1,8,9,3,4,7,2,7,6,122,45,33,200
E01000062,1,4,4,0,3,6,0,2,5,3,5,3,5,7,7,3,4,7,1,1,3,1,3,2,1,4,7,0,6,5,0,4,3,2,4,4,56,47,17,120
E01000063,2,1,3,0,2,1,0,3,2,0,1,0,1,4,2,1,2,6,0,2,1,2,3,1,3,2,2,0,2,2,0,3,2,1,1,0,22,26,10,58
E01000064,1,4,11,6,7,11,1,8,8,0,4,6,4,3,3,2,5,9,4,3,14,8,5,9,2,7,4,1,4,7,0,4,8,0,8,3,93,62,29,184
