lsoacode,local authority name,ethnic_diversity_index
E01000001,City of London,0.635984494
E01000002,City of London,0.660999783
E01000003,City of London,0.690773434
E01000005,City of London,0.854023905
E01032739,City of London,0.773716363
E01032740,City of London,0.757801931
E01000006,Barking and Dagenham,0.869491892
E01000007,Barking and Dagenham,0.883517704
E01000008,Barking and Dagenham,0.814861628
E01000009,Barking and Dagenham,0.869328525
E01000011,Barking and Dagenham,0.850363366
E01000012,Barking and Dagenham,0.874178221
E01000013,Barking and Dagenham,0.776341381
E01000014,Barking and Dagenham,0.754169327
E01000015,Barking and Dagenham,0.788061608
E01000016,Barking and Dagenham,0.771557762
E01000017,Barking and Dagenham,0.788121552
E01000018,Barking and Dagenham,0.740380478
E01000019,Barking and Dagenham,0.84830873
E01000020,Barking and Dagenham,0.843922257
E01000021,Barking and Dagenham,0.842946638
E01000022,Barking and Dagenham,0.831408899
E01000024,Barking and Dagenham,0.838353668
E01000025,Barking and Dagenham,0.795748554
E01000027,Barking and Dagenham,0.750355218
E01000028,Barking and Dagenham,0.841237459
E01000029,Barking and Dagenham,0.844473179
E01000030,Barking and Dagenham,0.805680151
E01000031,Barking and Dagenham,0.878263711
E01000032,Barking and Dagenham,0.850038339
E01000033,Barking and Dagenham,0.697612582
E01000034,Barking and Dagenham,0.702851612
E01000035,Barking and Dagenham,0.793617261
E01000036,Barking and Dagenham,0.834524327
E01000037,Barking and Dagenham,0.696151826
E01000038,Barking and Dagenham,0.6921052
E01000039,Barking and Dagenham,0.737748666
E01000040,Barking and Dagenham,0.846887329
E01000041,Barking and Dagenham,0.777210908
E01000042,Barking and Dagenham,0.834088954
E01000043,Barking and Dagenham,0.829577027
E01000044,Barking and Dagenham,0.877368636
E01000045,Barking and Dagenham,0.809029787
E01000046,Barking and Dagenham,0.778813252
E01000049,Barking and Dagenham,0.850050441
E01000050,Barking and Dagenham,0.886489069
E01000051,Barking and Dagenham,0.863146594
E01000052,Barking and Dagenham,0.869855817
E01000053,Barking and Dagenham,0.789930317
E01000054,Barking and Dagenham,0.744771655
E01000055,Barking and Dagenham,0.76845366
E01000056,Barking and Dagenham,0.742776407
E01000057,Barking and Dagenham,0.791079651
E01000058,Barking and Dagenham,0.82883621
E01000059,Barking and Dagenham,0.724686176
E01000060,Barking and Dagenham,0.794395706
E01000061,Barking and Dagenham,0.775613472
E01000062,Barking and Dagenham,0.787719205
E01000063,Barking and Dagenham,0.755982846
E01000064,Barking and Dagenham,0.796424183
E01000065,Barking and Dagenham,0.758991174
E01000066,Barking and Dagenham,0.788772332
E01000067,Barking and Dagenham,0.819192122
E01000068,Barking and Dagenham,0.845144039
E01000069,Barking and Dagenham,0.749821655
E01000070,Barking and Dagenham,0.830606572
E01000071,Barking and Dagenham,0.827935592
E01000072,Barking and Dagenham,0.80922045
E01000073,Barking and Dagenham,0.77689757
E01000074,Barking and Dagenham,0.784285786
E01000075,Barking and Dagenham,0.781144138
E01000076,Barking and Dagenham,0.779786067
E01000077,Barking and Dagenham,0.806311262
E01000078,Barking and Dagenham,0.792671835
E01000079,Barking and Dagenham,0.765928512
E01000080,Barking and Dagenham,0.78044301
E01000081,Barking and Dagenham,0.805486744
E01000082,Barking and Dagenham,0.759437067
E01000083,Barking and Dagenham,0.795588517
E01000084,Barking and Dagenham,0.749864323
E01000085,Barking and Dagenham,0.753662955
E01000086,Barking and Dagenham,0.756875214
E01000087,Barking and Dagenham,0.786908891
E01000088,Barking and Dagenham,0.845990066
E01000089,Barking and Dagenham,0.83429236
E01000090,Barking and Dagenham,0.857835418
E01000091,Barking and Dagenham,0.831062703
E01000093,Barking and Dagenham,0.834569246
E01000094,Barking and Dagenham,0.836683508
E01000095,Barking and Dagenham,0.822767651
E01000096,Barking and Dagenham,0.820625895
E01000097,Barking and Dagenham,0.806493476
E01000098,Barking and Dagenham,0.834390105
E01000099,Barking and Dagenham,0.832083989
E01000100,Barking and Dagenham,0.794778484
E01000101,Barking and Dagenham,0.786329667
E01000102,Barking and Dagenham,0.785363243
E01000103,Barking and Dagenham,0.791821591
E01000104,Barking and Dagenham,0.785636382
E01000105,Barking and Dagenham,0.776187575
E01000106,Barking and Dagenham,0.798465215
E01000107,Barking and Dagenham,0.786600248
E01000108,Barking and Dagenham,0.811260108
E01000110,Barking and Dagenham,0.86503063
E01000111,Barking and Dagenham,0.835254332
E01000112,Barking and Dagenham,0.88084665
E01000113,Barking and Dagenham,0.864526146
E01000114,Barking and Dagenham,0.870840689
E01032580,Barking and Dagenham,0.862592444
E01033587,Barking and Dagenham,0.852958267
E01034469,Barking and Dagenham,0.859384697
E01034470,Barking and Dagenham,0.861348732
E01034471,Barking and Dagenham,0.861774614
E01034472,Barking and Dagenham,0.874349592
E01034473,Barking and Dagenham,0.869451011
E01034474,Barking and Dagenham,0.852663785
E01034475,Barking and Dagenham,0.861419551
E01034476,Barking and Dagenham,0.864802174
E01034477,Barking and Dagenham,0.844093291
E01034478,Barking and Dagenham,0.880390278
E01034479,Barking and Dagenham,0.858810842
E01000115,Barnet,0.775128625
E01000116,Barnet,0.779467557
E01000117,Barnet,0.674955334
E01000118,Barnet,0.771101463
E01000119,Barnet,0.81302284
E01000120,Barnet,0.817756644
E01000121,Barnet,0.786793645
E01000122,Barnet,0.80792827
E01000123,Barnet,0.795984633
E01000124,Barnet,0.817194571
E01000126,Barnet,0.880463989
E01000127,Barnet,0.873505981
E01000128,Barnet,0.863301277
E01000129,Barnet,0.869620242
E01000130,Barnet,0.856291505
E01000131,Barnet,0.880238446
E01000132,Barnet,0.874895379
E01000133,Barnet,0.851585736
E01000134,Barnet,0.869553798
E01000135,Barnet,0.795088581
E01000136,Barnet,0.756883924
E01000137,Barnet,0.865361446
E01000138,Barnet,0.856841682
E01000139,Barnet,0.780422155
E01000140,Barnet,0.804814277
E01000141,Barnet,0.877717144
E01000142,Barnet,0.862216996
E01000143,Barnet,0.855078406
E01000144,Barnet,0.815661199
E01000145,Barnet,0.753635135
E01000146,Barnet,0.80091081
E01000147,Barnet,0.863783115
E01000150,Barnet,0.880160471
E01000151,Barnet,0.865750991
E01000152,Barnet,0.882394689
E01000153,Barnet,0.852306151
E01000154,Barnet,0.873587931
E01000156,Barnet,0.742282588
E01000157,Barnet,0.722431776
E01000158,Barnet,0.783441406
E01000159,Barnet,0.762829974
E01000160,Barnet,0.810260926
E01000161,Barnet,0.826091407
E01000162,Barnet,0.810583987
E01000163,Barnet,0.816953447
E01000164,Barnet,0.819081379
E01000165,Barnet,0.858017827
E01000166,Barnet,0.722382226
E01000167,Barnet,0.673053978
E01000168,Barnet,0.743033808
E01000169,Barnet,0.644335127
E01000170,Barnet,0.739000604
E01000171,Barnet,0.797239693
E01000172,Barnet,0.668190087
E01000173,Barnet,0.722330426
E01000174,Barnet,0.704384142
E01000175,Barnet,0.666483411
E01000176,Barnet,0.75338104
E01000177,Barnet,0.668737117
E01000178,Barnet,0.701936637
E01000179,Barnet,0.743963047
E01000180,Barnet,0.774165829
E01000181,Barnet,0.716929444
E01000182,Barnet,0.697418077
E01000183,Barnet,0.742738515
E01000184,Barnet,0.848153531
E01000185,Barnet,0.865287785
E01000186,Barnet,0.68447435
E01000187,Barnet,0.711939404
E01000188,Barnet,0.735547025
E01000189,Barnet,0.880369477
E01000190,Barnet,0.772218701
E01000191,Barnet,0.745985356
E01000192,Barnet,0.770514286
E01000193,Barnet,0.816636678
E01000194,Barnet,0.867236005
E01000195,Barnet,0.822164308
E01000196,Barnet,0.821161145
E01000197,Barnet,0.79417385
E01000198,Barnet,0.771621942
E01000199,Barnet,0.717476938
E01000200,Barnet,0.740832894
E01000201,Barnet,0.750178234
E01000202,Barnet,0.748909366
E01000203,Barnet,0.822959663
E01000204,Barnet,0.738894638
E01000205,Barnet,0.708722662
E01000206,Barnet,0.71737512
E01000207,Barnet,0.703994021
E01000208,Barnet,0.755604813
E01000209,Barnet,0.629781958
E01000210,Barnet,0.71363493
E01000211,Barnet,0.837722159
E01000212,Barnet,0.73232444
E01000213,Barnet,0.635504651
E01000214,Barnet,0.750243439
E01000215,Barnet,0.695393309
E01000216,Barnet,0.761903735
E01000217,Barnet,0.649781189
E01000218,Barnet,0.688493407
E01000219,Barnet,0.765557367
E01000220,Barnet,0.714636379
E01000221,Barnet,0.886489218
E01000222,Barnet,0.882999055
E01000223,Barnet,0.875298803
E01000224,Barnet,0.883997982
E01000225,Barnet,0.656004021
E01000226,Barnet,0.860694383
E01000227,Barnet,0.797177681
E01000228,Barnet,0.801268438
E01000229,Barnet,0.808843174
E01000230,Barnet,0.68777017
E01000231,Barnet,0.877368921
E01000232,Barnet,0.808266827
E01000233,Barnet,0.808456798
E01000234,Barnet,0.755759929
E01000235,Barnet,0.848913945
E01000236,Barnet,0.667345289
E01000237,Barnet,0.755705446
E01000238,Barnet,0.7176783
E01000239,Barnet,0.849502569
E01000240,Barnet,0.837816485
E01000241,Barnet,0.77875919
E01000242,Barnet,0.723306645
E01000243,Barnet,0.771227709
E01000244,Barnet,0.837550922
E01000245,Barnet,0.838761723
E01000246,Barnet,0.612324643
E01000247,Barnet,0.637170729
E01000248,Barnet,0.543835686
E01000249,Barnet,0.556248839
E01000250,Barnet,0.727039208
E01000251,Barnet,0.77284188
E01000252,Barnet,0.681366437
E01000253,Barnet,0.70301234
E01000254,Barnet,0.508459991
E01000255,Barnet,0.803141826
E01000256,Barnet,0.796483543
E01000257,Barnet,0.833676885
E01000258,Barnet,0.713421934
E01000259,Barnet,0.849853335
E01000260,Barnet,0.845963311
E01000261,Barnet,0.668681359
E01000263,Barnet,0.598913238
E01000264,Barnet,0.816779374
E01000265,Barnet,0.783095987
E01000266,Barnet,0.709807816
E01000267,Barnet,0.749845335
E01000268,Barnet,0.808757789
E01000269,Barnet,0.678112317
E01000270,Barnet,0.732636408
E01000271,Barnet,0.744482015
E01000272,Barnet,0.729498553
E01000273,Barnet,0.794700028
E01000274,Barnet,0.77426429
E01000275,Barnet,0.809123815
E01000276,Barnet,0.801210507
E01000277,Barnet,0.851831224
E01000278,Barnet,0.803462159
E01000279,Barnet,0.621691086
E01000280,Barnet,0.714185787
E01000281,Barnet,0.804454174
E01000282,Barnet,0.767804844
E01000283,Barnet,0.730923006
E01000284,Barnet,0.810000607
E01000285,Barnet,0.740965547
E01000286,Barnet,0.729070141
E01000287,Barnet,0.703784632
E01000288,Barnet,0.761456766
E01000289,Barnet,0.798233304
E01000290,Barnet,0.690673708
E01000291,Barnet,0.783095061
E01000292,Barnet,0.664662464
E01000293,Barnet,0.723702604
E01000294,Barnet,0.713949538
E01000295,Barnet,0.812031781
E01000296,Barnet,0.79225276
E01000297,Barnet,0.816394493
E01000298,Barnet,0.798984722
E01000299,Barnet,0.857290804
E01000300,Barnet,0.792269141
E01000301,Barnet,0.809872889
E01000302,Barnet,0.824944321
E01000303,Barnet,0.815441616
E01000304,Barnet,0.807952165
E01000305,Barnet,0.867376072
E01000306,Barnet,0.780908188
E01000307,Barnet,0.875369885
E01000308,Barnet,0.87311458
E01000309,Barnet,0.855739088
E01000310,Barnet,0.851795181
E01000311,Barnet,0.608708547
E01000312,Barnet,0.853091568
E01000313,Barnet,0.860773705
E01000314,Barnet,0.82470495
E01000315,Barnet,0.827031759
E01000316,Barnet,0.843197037
E01000317,Barnet,0.81640328
E01000318,Barnet,0.845175692
E01000319,Barnet,0.771890981
E01000320,Barnet,0.79098238
E01000321,Barnet,0.767769769
E01000322,Barnet,0.788729084
E01000323,Barnet,0.83720339
E01000324,Barnet,0.791834387
E01033911,Barnet,0.799994556
E01033912,Barnet,0.854603653
E01033913,Barnet,0.875054893
E01033914,Barnet,0.877666324
E01033915,Barnet,0.888671114
E01033916,Barnet,0.843717951
E01033917,Barnet,0.878564036
E01033918,Barnet,0.881446758
E01033919,Barnet,0.884513493
E01033920,Barnet,0.858770982
E01033921,Barnet,0.895532532
E01033922,Barnet,0.875846243
E01033923,Barnet,0.895190522
E01033924,Barnet,0.887360103
E01033925,Barnet,0.873460958
E01000325,Bexley,0.319838945
E01000326,Bexley,0.552792036
E01000327,Bexley,0.452852349
E01000328,Bexley,0.385083934
E01000329,Bexley,0.545875812
E01000330,Bexley,0.505925812
E01000331,Bexley,0.521103019
E01000332,Bexley,0.621905316
E01000333,Bexley,0.614168781
E01000334,Bexley,0.590422265
E01000335,Bexley,0.816407901
E01000336,Bexley,0.772459375
E01000337,Bexley,0.700024212
E01000338,Bexley,0.730287604
E01000339,Bexley,0.348560001
E01000340,Bexley,0.403935603
E01000341,Bexley,0.352336498
E01000342,Bexley,0.293024979
E01000343,Bexley,0.355981755
E01000344,Bexley,0.302351667
E01000345,Bexley,0.270017821
E01000346,Bexley,0.313146632
E01000347,Bexley,0.390531031
E01000348,Bexley,0.326969306
E01000349,Bexley,0.382258655
E01000350,Bexley,0.278935387
E01000351,Bexley,0.34450754
E01000352,Bexley,0.458429321
E01000353,Bexley,0.394305754
E01000354,Bexley,0.505145778
E01000355,Bexley,0.354789467
E01000356,Bexley,0.572107137
E01000357,Bexley,0.474344898
E01000358,Bexley,0.522906344
E01000359,Bexley,0.504306047
E01000360,Bexley,0.59172214
E01000361,Bexley,0.41921714
E01000362,Bexley,0.552286703
E01000363,Bexley,0.487540188
E01000364,Bexley,0.558692694
E01000365,Bexley,0.495482771
E01000366,Bexley,0.57148284
E01000367,Bexley,0.645761208
E01000368,Bexley,0.551228578
E01000369,Bexley,0.428220697
E01000370,Bexley,0.474228834
E01000371,Bexley,0.394874118
E01000372,Bexley,0.593546274
E01000373,Bexley,0.768464466
E01000374,Bexley,0.568871958
E01000375,Bexley,0.588605232
E01000376,Bexley,0.486266217
E01000377,Bexley,0.390562621
E01000379,Bexley,0.451328378
E01000380,Bexley,0.426166738
E01000381,Bexley,0.326876829
E01000382,Bexley,0.354942439
E01000383,Bexley,0.344513381
E01000384,Bexley,0.392661641
E01000385,Bexley,0.560429288
E01000386,Bexley,0.599437145
E01000387,Bexley,0.364591764
E01000388,Bexley,0.587742643
E01000389,Bexley,0.563116554
E01000390,Bexley,0.50674315
E01000391,Bexley,0.468429229
E01000392,Bexley,0.728638588
E01000393,Bexley,0.605805929
E01000394,Bexley,0.502162909
E01000395,Bexley,0.524846632
E01000396,Bexley,0.513508043
E01000398,Bexley,0.523087627
E01000399,Bexley,0.608094762
E01000400,Bexley,0.652838336
E01000401,Bexley,0.593980678
E01000402,Bexley,0.61536366
E01000403,Bexley,0.679620486
E01000404,Bexley,0.775587492
E01000405,Bexley,0.717900672
E01000406,Bexley,0.750749073
E01000407,Bexley,0.692053382
E01000408,Bexley,0.799356341
E01000409,Bexley,0.501918574
E01000410,Bexley,0.51899843
E01000411,Bexley,0.49900113
E01000412,Bexley,0.569366897
E01000413,Bexley,0.43992595
E01000414,Bexley,0.701358929
E01000415,Bexley,0.572254153
E01000416,Bexley,0.798310534
E01000417,Bexley,0.650348131
E01000418,Bexley,0.77864204
E01000419,Bexley,0.586187627
E01000420,Bexley,0.484539697
E01000421,Bexley,0.425878635
E01000422,Bexley,0.771748719
E01000423,Bexley,0.343034056
E01000424,Bexley,0.324688429
E01000425,Bexley,0.320688173
E01000426,Bexley,0.363111923
E01000427,Bexley,0.3265551
E01000428,Bexley,0.535013414
E01000429,Bexley,0.722699318
E01000430,Bexley,0.729943724
E01000431,Bexley,0.672604914
E01000433,Bexley,0.662457747
E01000434,Bexley,0.543561936
E01000435,Bexley,0.612964542
E01000436,Bexley,0.404946601
E01000437,Bexley,0.475420572
E01000438,Bexley,0.527587459
E01000439,Bexley,0.552364912
E01000440,Bexley,0.468181764
E01000441,Bexley,0.542626277
E01000442,Bexley,0.493209178
E01000443,Bexley,0.330332975
E01000444,Bexley,0.329993394
E01000445,Bexley,0.316301815
E01000446,Bexley,0.243797844
E01000447,Bexley,0.425225607
E01000448,Bexley,0.295819741
E01000449,Bexley,0.321228888
E01000450,Bexley,0.570713762
E01000451,Bexley,0.543201701
E01000452,Bexley,0.586550602
E01000453,Bexley,0.562496128
E01000454,Bexley,0.612267205
E01000455,Bexley,0.633690134
E01000456,Bexley,0.555603031
E01000457,Bexley,0.456780005
E01000458,Bexley,0.348187399
E01000459,Bexley,0.451909836
E01000460,Bexley,0.356965026
E01000461,Bexley,0.382654764
E01000462,Bexley,0.456003864
E01000463,Bexley,0.364311103
E01000464,Bexley,0.720235802
E01000465,Bexley,0.732587367
E01000466,Bexley,0.73219186
E01000467,Bexley,0.763394274
E01000468,Bexley,0.732637429
E01000469,Bexley,0.766179348
E01000470,Bexley,0.752810627
E01032566,Bexley,0.6648268
E01033789,Bexley,0.792141848
E01033790,Bexley,0.661286247
E01033791,Bexley,0.587865294
E01033792,Bexley,0.43130959
E01000471,Brent,0.821682629
E01000472,Brent,0.870227797
E01000473,Brent,0.613621102
E01000474,Brent,0.604348495
E01000475,Brent,0.779896424
