LSOA11CD,alcohol_related,community,education,entertainment,financial,food_related,healthcare,leisure,other,parking_related,police_related,religion,residential,retail,transport,urban_utilities
E01000001,4,0,0,1,2,13,0,3,53,19,1,2,10,3,0,31
E01000002,6,3,2,5,4,26,1,3,34,49,0,1,9,0,1,98
E01000003,1,0,0,0,0,2,1,4,15,12,0,1,16,1,0,1
E01000005,18,7,2,0,2,65,5,8,56,52,0,1,6,13,2,20
E01000006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E01000007,3,1,2,1,2,11,3,4,25,11,0,1,14,1,3,10
E01000008,0,1,0,0,1,0,0,3,6,7,1,0,12,1,0,3
E01000009,0,1,0,0,1,12,0,0,19,8,0,1,17,7,0,1
E01000010,3,3,2,3,8,38,12,2,165,27,1,6,20,24,3,38
E01000011,0,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0
E01000012,0,1,0,0,0,1,0,0,3,0,0,1,11,2,0,1
E01000013,1,0,1,0,2,9,2,0,36,5,0,1,0,2,0,5
E01000014,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0
E01000015,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
E01000016,0,0,0,0,0,0,0,0,9,1,0,0,7,1,0,0
E01000017,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
E01000018,0,0,2,0,0,0,0,0,2,0,0,0,14,0,0,0
E01000019,0,1,2,0,0,0,0,0,3,0,0,3,0,2,0,1
E01000020,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
E01000021,0,1,0,0,0,0,0,2,53,10,0,0,2,1,0,1
E01000022,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
E01000023,0,0,1,0,0,0,0,1,23,5,0,1,17,1,0,0
E01000024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E01000025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E01000027,1,1,1,0,0,1,1,0,11,1,0,0,0,1,0,1
E01000028,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
E01000029,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
