lsoacode,employ_population
E01000001,868
E01000002,875
E01000003,1002
E01000005,494
E01032739,1184
E01032740,932
E01000006,886
E01000007,1378
E01000008,644
E01000009,783
E01000011,736
E01000012,900
E01000013,802
E01000014,797
E01000015,1068
E01000016,862
E01000017,747
E01000018,835
E01000019,689
E01000020,898
E01000021,681
E01000022,636
E01000024,627
E01000025,845
E01000027,803
E01000028,688
E01000029,777
E01000030,979
E01000031,790
E01000032,876
E01000033,592
E01000034,649
E01000035,818
E01000036,695
E01000037,855
E01000038,783
E01000039,822
E01000040,737
E01000041,818
E01000042,708
E01000043,705
E01000044,896
E01000045,734
E01000046,859
E01000049,679
E01000050,819
E01000051,574
E01000052,972
E01000053,680
E01000054,821
E01000055,744
E01000056,702
E01000057,650
E01000058,931
E01000059,791
E01000060,865
E01000061,756
E01000062,1027
E01000063,802
E01000064,1021
E01000065,815
E01000066,976
E01000067,933
E01000068,849
E01000069,1015
E01000070,889
E01000071,1213
E01000072,864
E01000073,787
E01000074,751
E01000075,956
E01000076,855
E01000077,718
E01000078,782
E01000079,723
E01000080,827
E01000081,890
E01000082,858
E01000083,777
E01000084,632
E01000085,732
E01000086,643
E01000087,701
E01000088,815
E01000089,781
E01000090,732
E01000091,802
E01000093,692
E01000094,1122
E01000095,956
E01000096,602
E01000097,795
E01000098,788
E01000099,1295
E01000100,809
E01000101,743
E01000102,748
E01000103,807
E01000104,818
E01000105,1022
E01000106,860
E01000107,736
E01000108,852
E01000110,737
E01000111,967
E01000112,914
E01000113,948
E01000114,1045
E01032580,631
E01033587,1250
E01034469,791
E01034470,676
E01034471,1115
E01034472,815
E01034473,544
E01034474,1072
E01034475,767
E01034476,787
E01034477,773
E01034478,708
E01034479,854
E01000115,673
E01000116,827
E01000117,818
E01000118,1001
E01000119,851
E01000120,705
E01000121,627
E01000122,738
E01000123,974
E01000124,870
E01000126,1017
E01000127,700
E01000128,914
E01000129,718
E01000130,931
E01000131,962
E01000132,735
E01000133,732
E01000134,813
E01000135,781
E01000136,667
E01000137,689
E01000138,760
E01000139,724
E01000140,1034
E01000141,1004
E01000142,1076
E01000143,742
E01000144,815
E01000145,652
E01000146,1023
E01000147,972
E01000150,1137
E01000151,582
E01000152,1331
E01000153,830
E01000154,906
E01000156,1013
E01000157,813
E01000158,746
E01000159,883
E01000160,1060
E01000161,937
E01000162,700
E01000163,771
E01000164,769
E01000165,843
E01000166,716
E01000167,668
E01000168,705
E01000169,829
E01000170,902
E01000171,1064
E01000172,737
E01000173,815
E01000174,810
E01000175,1026
E01000176,746
E01000177,869
E01000178,812
E01000179,1021
E01000180,759
E01000181,968
E01000182,882
E01000183,673
E01000184,822
E01000185,628
E01000186,840
E01000187,707
E01000188,723
E01000189,1239
E01000190,793
E01000191,673
E01000192,953
E01000193,964
E01000194,851
E01000195,885
E01000196,1098
E01000197,1012
E01000198,978
E01000199,697
E01000200,872
E01000201,703
E01000202,862
E01000203,798
E01000204,851
E01000205,749
E01000206,691
E01000207,663
E01000208,846
E01000209,650
E01000210,776
E01000211,1024
E01000212,677
E01000213,615
E01000214,910
E01000215,793
E01000216,864
E01000217,796
E01000218,783
E01000219,977
E01000220,780
E01000221,493
E01000222,881
E01000223,865
E01000224,708
E01000225,694
E01000226,789
E01000227,929
E01000228,703
E01000229,785
E01000230,831
E01000231,878
E01000232,873
E01000233,997
E01000234,914
E01000235,886
E01000236,843
E01000237,1065
E01000238,910
E01000239,1020
E01000240,858
E01000241,888
E01000242,677
E01000243,1104
E01000244,811
E01000245,960
E01000246,733
E01000247,899
E01000248,852
E01000249,789
E01000250,1316
E01000251,1011
E01000252,889
E01000253,948
E01000254,776
E01000255,767
E01000256,875
E01000257,1052
E01000258,917
E01000259,1243
E01000260,1072
E01000261,751
E01000263,755
E01000264,978
E01000265,913
E01000266,682
E01000267,840
E01000268,1007
E01000269,675
E01000270,754
E01000271,769
E01000272,636
E01000273,804
E01000274,940
E01000275,841
E01000276,714
E01000277,815
E01000278,658
E01000279,604
E01000280,625
E01000281,988
E01000282,885
E01000283,652
E01000284,934
E01000285,689
E01000286,776
E01000287,734
E01000288,764
E01000289,658
E01000290,724
E01000291,730
E01000292,684
E01000293,911
E01000294,840
E01000295,876
E01000296,1007
E01000297,757
E01000298,932
E01000299,1018
E01000300,875
E01000301,686
E01000302,844
E01000303,714
E01000304,862
E01000305,850
E01000306,1065
E01000307,750
E01000308,1191
E01000309,1025
E01000310,1049
E01000311,754
E01000312,854
E01000313,954
E01000314,1150
E01000315,772
E01000316,1083
E01000317,748
E01000318,855
E01000319,699
E01000320,992
E01000321,1070
E01000322,901
E01000323,1223
E01000324,924
E01033911,912
E01033912,860
E01033913,578
E01033914,772
E01033915,551
E01033916,829
E01033917,862
E01033918,815
E01033919,801
E01033920,905
E01033921,918
E01033922,997
E01033923,717
E01033924,662
E01033925,872
E01000325,801
E01000326,714
E01000327,752
E01000328,753
E01000329,800
E01000330,776
E01000331,765
E01000332,728
E01000333,868
E01000334,794
E01000335,1426
E01000336,862
E01000337,838
E01000338,966
E01000339,749
E01000340,760
E01000341,714
E01000342,831
E01000343,733
E01000344,790
E01000345,712
E01000346,821
E01000347,735
E01000348,785
E01000349,818
E01000350,796
E01000351,817
E01000352,789
E01000353,717
E01000354,711
E01000355,668
E01000356,678
E01000357,725
E01000358,791
E01000359,621
E01000360,956
E01000361,847
E01000362,912
E01000363,747
E01000364,832
E01000365,779
E01000366,866
E01000367,978
E01000368,753
E01000369,834
E01000370,745
E01000371,836
E01000372,737
E01000373,640
E01000374,649
E01000375,1108
E01000376,870
