lsoacode,population_21
E01010930,1666
E01010931,1408
E01010932,1565
E01010933,1660
E01010934,1954
E01010935,1412
E01010936,2021
E01010937,1538
E01010938,1536
E01010939,1645
E01010940,1437
E01010941,1389
E01010942,1801
E01010943,1470
E01010944,1409
E01010945,1552
E01010946,1312
E01010947,1437
E01010948,1427
E01010949,1601
E01010950,1472
E01010951,1520
E01010952,1618
E01010953,1508
E01010954,2484
E01010955,1400
E01010956,1649
E01010957,1463
E01010958,1326
E01010959,1720
E01010960,1600
E01010961,1202
E01010964,1621
E01010965,1377
E01010966,1756
E01010967,1515
E01010968,1731
E01010969,1741
E01010970,2065
E01010971,1957
E01010972,1617
E01010973,1732
E01010974,1510
E01010975,1487
E01010976,1833
E01010977,1855
E01010978,1364
E01010979,1406
E01010980,1525
E01010981,1478
E01010982,1375
E01010983,1635
E01010984,1371
E01010985,1417
E01010986,1721
E01010987,1867
E01010988,1439
E01010989,1456
E01010990,1607
E01010991,1397
E01010992,1706
E01010993,1702
E01010995,1365
E01010996,1521
E01010997,1481
E01010998,1841
E01010999,1543
E01011000,2435
E01011001,1691
E01011002,1861
E01011003,1491
E01032923,2114
E01034582,1315
E01034583,1079
E01011004,1325
E01011005,1474
E01011006,1489
E01011007,1762
E01011008,1451
E01011009,1374
E01011010,1561
E01011011,1503
E01011012,1507
E01011013,1552
E01011014,1574
E01011015,1578
E01011016,1436
E01011017,1504
E01011018,1403
E01011019,1437
E01011020,1336
E01011021,1601
E01011022,1441
E01011023,1814
E01011024,1905
E01011025,1568
E01011026,1564
E01011027,1295
E01011028,1427
E01011029,1561
E01011030,1674
E01011031,2042
E01011032,2156
E01011033,1748
E01011034,1548
E01011035,1655
E01011036,1759
E01011037,2349
E01011038,1801
E01011039,1843
E01011040,1871
E01011041,1534
E01011042,1616
E01011043,2718
E01011044,1668
E01011045,1972
E01011046,1418
E01011047,1556
E01011048,1681
E01011049,1732
E01011050,1436
E01011051,1692
E01011052,1613
E01011053,1400
E01011054,1378
E01011055,1306
E01011056,1697
E01011057,1635
E01011058,1267
E01011059,1839
E01011060,1617
E01011061,1664
E01011062,1900
E01011063,2193
E01011064,1676
E01011065,1643
E01011066,1497
E01011067,1668
E01011068,1613
E01011069,1400
E01011070,1686
E01011071,1943
E01011072,1592
E01011073,1557
E01011074,1833
E01011075,1452
E01011076,1422
E01011077,1592
E01011078,1893
E01011079,2001
E01011080,2123
E01011081,1816
E01011082,1827
E01011083,1777
E01011084,1967
E01011085,1733
E01011086,1609
E01011087,1499
E01011088,1308
E01011089,1297
E01011090,1450
E01011091,1361
E01011092,1305
E01011093,1428
E01011094,1559
E01011095,1374
E01011096,1522
E01011097,1658
E01011098,1623
E01011099,1473
E01011100,1466
E01011101,1796
E01011102,1341
E01011103,1361
E01011104,1622
E01011105,2454
E01011106,1592
E01011107,2223
E01011108,1375
E01011109,1855
E01011110,1469
E01011111,1873
E01011112,1589
E01011113,1558
E01011114,1707
E01011115,1822
E01011116,1584
E01011117,1676
E01011118,1503
E01011119,1444
E01011120,1405
E01011121,1775
E01011122,1347
E01011123,1647
E01011124,1934
E01011125,2141
E01011126,1907
E01011127,1349
E01011128,2010
E01011129,1277
E01011130,2233
E01011132,1551
E01011133,1658
E01011134,2105
E01011136,1639
E01011137,1502
E01011138,1884
E01011139,1589
E01011140,1708
E01011141,1810
E01011142,1578
E01011143,1784
E01011144,1663
E01011145,1420
E01011146,1547
E01011147,1681
E01011148,1755
E01011149,1777
E01011150,1606
E01011151,1491
E01011152,1697
E01011153,1721
E01011154,1610
E01011155,2153
E01011156,1533
E01011157,1730
E01011158,1924
E01011159,1731
E01011160,1323
E01011161,1322
E01011162,1485
E01011163,1383
E01011164,1745
E01011165,1784
E01011166,1653
E01011167,2002
E01011168,1596
E01011169,1380
E01011170,1917
E01011173,1255
E01011174,1828
E01011175,1763
E01011176,1413
E01011177,2045
E01011178,1896
E01011179,1668
E01011180,1896
E01011181,1754
E01011182,1698
E01011183,2262
E01011184,1413
E01011185,1566
E01011186,1837
E01011187,1650
E01011188,1642
E01011189,1868
E01011190,1576
E01011191,1547
E01011192,1587
E01011193,2250
E01011194,1335
E01011195,1764
E01011196,1982
E01011197,1509
E01011198,1575
E01011199,1474
E01011200,2247
E01011201,1771
E01011202,1609
E01011203,1879
E01011204,1577
E01011205,1591
E01011206,1655
E01011207,1501
E01011208,1644
E01011210,2052
E01011211,1986
E01011212,1554
E01011213,1529
E01011214,1486
E01011215,2287
E01011216,1483
E01011217,1565
E01011218,1617
E01011219,1576
E01011220,1773
E01011221,1690
E01011222,1613
E01011223,1929
E01011224,1786
E01011225,1650
E01011226,1484
E01011227,1513
E01011228,1391
E01011229,2797
E01011230,2041
E01011231,1457
E01011232,1561
E01011233,1700
E01011234,1525
E01011235,1878
E01011236,1716
E01011237,1701
E01011238,1779
E01011239,1668
E01011240,1813
E01011241,1625
E01011242,1616
E01011243,1597
E01011244,2004
E01011245,1547
E01011246,1542
E01011247,1598
E01011248,1391
E01011249,1808
E01011250,1760
E01011251,1720
E01011252,1118
E01011253,1204
E01011254,1514
E01011255,1472
E01011256,1306
E01011257,2071
E01011258,2003
E01011259,2065
E01011260,1504
E01011261,1450
E01011262,1746
E01011263,1808
E01034584,1694
E01034585,1371
E01034586,1490
E01034587,1556
E01034588,2382
E01011264,1296
E01011265,1967
E01011266,2652
E01011267,1696
E01011268,1416
E01011269,1583
E01011270,1736
E01011271,2202
E01011272,1446
E01011273,1462
E01011274,1381
E01011275,1420
E01011276,1795
E01011277,1579
E01011278,1618
E01011279,1292
E01011280,2107
E01011281,2146
E01011282,1412
E01011283,1570
E01011284,2196
E01011286,1291
E01011287,1462
E01011292,1969
E01011293,1938
E01011294,1730
E01011295,1703
E01011296,1665
E01011297,1758
E01011298,1522
E01011299,2895
E01011300,1466
E01011301,1291
E01011302,1822
E01011303,1122
E01011304,1606
E01011305,1474
E01011306,1316
E01011307,1626
E01011308,1536
E01011309,1501
E01011310,1658
E01011311,1268
E01011312,2016
E01011313,1725
E01011314,1554
E01011315,1636
E01011316,2015
E01011317,1787
E01011318,1559
E01011319,1591
E01011320,1799
E01011321,1632
E01011322,1678
E01011323,1347
E01011324,1801
E01011325,1635
E01011326,1500
E01011327,1338
E01011328,1596
E01011329,1465
E01011330,1382
E01011331,1343
E01011332,1601
E01011333,1358
E01011334,1351
E01011335,1739
E01011336,1525
E01011337,1751
E01011338,2040
E01011339,2129
E01011340,1826
E01011341,2140
E01011342,1879
E01011343,2014
E01011344,2051
E01011345,1525
E01011346,1891
E01011347,1927
